Team Number,Prospect Name,Year,Overall Pick
29,Nico Hischier,2017,1
31,Nolan Patrick,2017,2
21,Spencer Watson,2014,101
2,Miro Heiskanen,2017,3
16,Cody Glass,2017,4
7,Daniil Zharkov,2012,66
19,Cale Makar,2017,5
22,Pierre-Luc Dubois,2016,5
13,Alexander Nylander,2016,6
16,Clayton Keller,2016,7
13,Michael Dal Colle,2014,5
15,Stephen Silas,2010,93
28,Olli Juolevi,2016,9
30,Gabriel Vilardi,2017,6
8,Michael Amadio,2014,102
23,Griffin Reinhart,2012,4
29,Haydn Fleury,2014,8
24,Tyson Jost,2016,10
11,Owen Tippett,2017,7
7,Logan Brown,2016,11
14,Timothy Liljegren,2017,8
29,Michael McLeod,2016,12
9,Elias Pettersson,2017,9
28,Logan Stanley,2016,14
22,Lias Andersson,2017,10
1,Charles McAvoy,2016,15
12,Luke Kunin,2016,16
24,Michael Rasmussen,2017,11
5,Jake Bean,2016,17
25,Jakub Vrana,2014,13
2,Brett Howden,2016,18
6,Casey Mittelstadt,2017,12
24,Dante Fabbro,2016,19
1,Kieffer Bellows,2016,20
1,German Rubtsov,2016,21
28,Dennis Cholowski,2016,22
1,Juuso Valimaki,2017,13
5,Julien Gauthier,2016,23
23,Tanner Richard,2012,99
14,Duncan Siemens,2011,15
22,Adam Mascherin,2016,24
13,Sonny Milano,2014,15
16,Alexander Debrincat,2016,25
1,Adam Ruzicka,2017,93
1,Josh Wesley,2014,103
29,Riley Tufte,2016,26
24,Drew MacKenzie,0,0
6,Nick Suzuki,2017,14
13,Jake Oettinger,2017,15
5,Samuel Morin,2013,14
13,Erik Brannstrom,2017,16
9,Conner Bleackley,2014,17
9,Lucas Johansen,2016,27
22,Andrew Peeke,2016,28
22,Martin Necas,2017,17
11,Evan Fitzpatrick,2016,64
23,Filip Chytil,2017,18
16,Henrik Borgstrom,2016,29
24,Croix Evingson,2017,215
14,J.C. Lipon,2013,93
10,Jerome Gauthier-Leduc,2010,97
9,Nikita Scherbak,2014,19
27,Alexander Guptill,2010,98
29,Troy Rutkowski,2010,99
22,Kailer Yamamoto,2017,19
21,Pascal Laberge,2016,30
14,Tyler Biggs,2011,23
11,Urho Vaakanainen,2017,20
12,Josh Norris,2017,21
2,Max Jones,2016,31
29,Tage Thompson,2016,32
