Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Gulls,SDG,San Diego,Pacific Division,Western Conference,0,0,0,1809463,1798408,9223,117,0,50,False,9,0,X,W1,7,3,0,0,0,0,0,68,53,10,0,2,1,1,1,114,425,154,34,27,3,0,2,0,1,1,208,77,112,30,114,16,2,3814,1584,384,1261,1252,1290,17,198,138,86,4,59361,140387,46063,20053,110984,27613,7,425,762,1187,312,1352,999,1469,1865,2671,837,1209,0,
2,Moose,MAN,Manitoba,Southeast Division,Eastern Conference,0,0,0,796801,689167,3534,42,0,50,False,20,0,E,L2,3,6,0,0,0,1,0,76,24,48,0,0,0,2,2,54,313,406,38,14,21,0,0,0,1,2,160,183,67,15,60,17,1,3585,4674,1286,1184,1193,1195,50,143,96,72,5,127376,95430,51994,28942,69644,24573,3,313,552,865,131,1776,1196,2720,1140,2316,648,1451,0,
3,Bruins,PRO,Providence,Northeast Division,Eastern Conference,1729,2024,1972,1131670,770667,3952,119,0,50,False,17,0,X,L4,4,6,0,0,0,0,0,76,47,23,0,2,2,1,1,103,432,251,38,27,8,0,0,1,1,1,229,103,77,12,81,12,2,4208,3056,841,1368,1381,1449,17,210,130,89,4,94283,131082,49268,24515,103575,26059,7,432,739,1171,212,1808,1138,2408,1480,2786,680,1338,2,
4,Americans,ROC,Rochester,Northeast Division,Eastern Conference,0,0,0,2481965,2398500,12300,10,0,50,False,1,0,X,W3,9,0,0,0,0,0,1,76,35,34,0,3,2,0,2,80,315,338,38,23,14,0,1,0,0,0,173,151,90,12,121,20,5,3202,3482,1063,1041,1048,1100,19,130,116,66,3,109344,113208,52272,27221,84434,26856,11,315,598,913,313,1647,1040,2292,1278,2321,699,1363,0,
5,Heat,STK,Stockton,Northwest Division,Western Conference,2048,2812,0,515548,477250,2447,118,0,50,False,11,0,X,W2,7,3,0,0,0,0,0,68,39,20,0,1,2,2,4,90,303,224,34,19,11,0,1,1,1,1,158,111,94,23,91,14,0,2918,2936,798,940,971,974,52,117,98,85,6,105350,95486,46424,26041,71539,22442,3,303,460,763,260,1363,1244,2536,1125,2171,608,1120,0,
6,Checkers,CHR,Charlotte,Southeast Division,Eastern Conference,0,0,0,420996,310250,1591,104,0,50,False,24,0,E,L2,2,7,0,0,0,0,1,76,13,57,0,1,2,0,3,33,252,542,38,8,29,0,0,0,0,1,121,256,52,7,50,21,0,3419,5311,1510,1155,1121,1124,51,129,70,52,1,142110,80437,52404,30506,56000,22734,0,252,497,749,131,1684,1043,2749,941,2279,590,1475,0,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,775739,1018750,5224,89,0,50,False,21,0,E,L2,3,5,0,0,1,1,0,76,29,40,0,0,3,3,1,68,290,372,38,16,20,0,0,1,1,0,149,182,76,17,51,15,0,3352,4433,1206,1132,1144,1054,87,127,90,70,6,121062,101174,53066,29000,74108,25652,1,290,529,819,124,1898,1185,2852,1050,2333,578,1345,1,
8,Rampage,SAR,San Antonio,Northwest Division,Western Conference,0,0,0,356951,464417,2382,14,0,50,False,10,0,E,W1,6,2,0,1,0,1,0,76,31,41,0,2,0,2,0,70,358,434,38,18,18,0,0,0,2,0,200,210,85,21,73,18,0,3822,4294,1145,1315,1258,1235,41,180,103,71,5,121887,101062,51565,28108,75072,24503,0,358,639,997,164,1595,1237,2565,1398,2508,786,1494,0,
9,Monsters,LEM,Lake Erie,Central Division,Western Conference,0,2641,0,1649996,980444,5028,9,0,50,False,15,0,Z,W3,4,5,0,0,0,1,0,76,55,14,0,2,2,3,0,122,455,224,38,26,8,0,1,2,1,0,210,114,100,26,102,19,2,4273,2606,759,1386,1459,1389,70,213,145,92,7,83686,141557,50185,23275,111426,28255,9,455,798,1253,255,1506,1225,1938,1930,2841,861,1342,0,
10,Stars,TEX,Texas,Pacific Division,Western Conference,0,0,0,1040838,562835,2886,93,0,50,False,6,0,X,W1,8,1,0,0,1,0,0,76,41,29,0,2,2,1,1,91,383,326,38,21,13,0,2,1,0,1,210,159,90,20,85,19,3,3973,3685,1003,1279,1324,1357,17,191,101,88,4,113483,109500,51671,28487,82091,25189,3,383,702,1085,199,1688,1320,2925,1289,2548,674,1410,1,
11,Griffins,GRP,Grand Rapids,Central Division,Western Conference,600,248,2360,519930,588750,3019,129,0,50,False,12,0,X,SOL1,5,4,0,0,0,0,1,76,34,34,0,3,2,0,3,79,407,370,38,18,14,0,3,0,0,3,233,179,70,18,102,28,0,4357,3839,1080,1425,1423,1487,51,188,131,85,3,110292,113494,51605,27393,86053,25488,1,407,727,1134,214,1975,1176,2562,1465,2735,691,1439,0,
12,Condors,BKR,Bakersfield,Northwest Division,Western Conference,0,0,0,723114,659111,3380,37,0,50,False,8,0,Y,SOW1,7,1,0,0,0,1,1,68,42,18,0,0,0,5,3,97,340,205,34,22,9,0,0,0,2,1,168,99,89,22,92,21,3,3158,2202,575,1063,1057,1023,40,135,114,86,7,82068,117639,47493,23840,90485,25421,9,340,551,891,189,1271,1198,2052,1475,2379,689,1169,1,
