Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Alain Vigneault,1,Avalanche,CAN,54,86,94,99,86,85,80,62,1,1450000
Andy Murray,3,,CAN,53,72,71,70,71,80,78,85,0,850000
Barry Trotz,4,Red Wings,CAN,53,72,90,96,85,90,85,64,2,3250000
Andre Tourigny,5,,CAN,40,50,50,50,50,50,50,50,1,650000
Luke Richardson,6,Barracuda,CAN,46,47,62,80,63,60,61,78,2,850000
Bob Hartley,7,Islanders,CAN,54,90,86,95,87,83,79,62,1,1850000
Mark French,8,Admirals,CAN,41,65,69,68,74,71,70,85,2,650000
Willie Desjardins,9,Monsters,CAN,58,97,84,95,84,71,68,54,1,700000
Brian Sutter,10,Americans,CAN,55,68,66,65,65,82,80,85,1,800000
Bruce Boudreau,11,Stars,CAN,60,73,83,92,84,79,73,50,1,2400000
Bruce Cassidy,12,,CAN,50,78,78,74,70,61,61,70,3,500000
Craig Berube,13,,CAN,59,66,82,86,85,72,68,52,0,775000
Dean Chynoweth,14,Rampage,CAN,46,72,65,72,68,60,61,78,2,500000
Claude Julien,15,Capitals,CAN,55,79,88,87,86,83,78,60,4,3000000
Claude Noel,16,Reign,CAN,59,58,64,70,66,58,55,42,1,800000
Craig MacTavish,18,,CAN,54,70,67,69,71,80,79,85,0,925000
Curt Fraser,19,,USA,53,66,65,67,66,81,79,85,0,1000000
Brent Thompson,20,,CAN,41,42,65,73,61,60,63,88,0,0
Darryl Sutter,21,Flames,CAN,56,62,90,90,86,87,81,58,3,2500000
Dave Allison,22,,CAN,51,61,65,64,75,80,78,85,1,650000
Chadd Cassidy,23,,USA,41,68,63,71,67,60,63,88,0,0
Craig Ramsay,24,,CAN,64,50,36,44,42,36,33,21,0,0
Dave Cameron,25,Blues,CAN,57,74,87,94,85,71,68,56,2,2000000
Dean Evason,26,,CAN,50,68,71,72,67,60,60,70,0,0
Dave Tippett,27,Hurricanes,CAN,53,67,67,68,86,85,81,64,2,3000000
Derek Laxdal,28,,CAN,49,82,73,82,71,60,60,72,0,0
Gerard Gallant,29,Pirates,CAN,51,74,84,82,86,73,72,68,2,700000
Gerry Fleming,30,,CAN,48,72,73,77,69,60,60,74,0,0
Gord Dineen,31,,CAN,53,71,74,72,68,60,59,64,0,0
Jacques Lemaire,32,,CAN,69,49,42,37,43,45,39,16,0,0
Jared Bednar,33,,CAN,43,64,72,68,66,60,62,84,0,0
Jarrod Skalde,34,,CAN,44,55,69,61,65,60,61,82,0,0
John Anderson,35,,CAN,58,74,76,74,69,62,59,54,0,0
John Slaney,36,,CAN,43,68,77,72,67,60,62,84,0,0
John Hynes,37,Condors,USA,40,60,80,76,65,60,63,90,1,675000
Jacques Martin,38,,CAN,62,47,44,44,41,45,41,23,1,2650000
Jon Cooper,39,Senators,CAN,47,91,89,99,85,73,74,76,3,1000000
Joel Quenneville,40,Maple Leafs,CAN,56,99,93,91,88,91,84,58,5,3000000
Keith McCambridge,41,,CAN,41,67,65,65,67,60,63,88,0,0
John Torchetti,42,Moose,USA,51,77,63,61,70,60,60,68,3,770000
John Tortorella,43,,USA,57,74,66,64,65,67,62,45,2,2950000
Ken Hitchcock,44,Jets,CAN,63,88,91,97,84,90,81,44,3,2750000
Marc Crawford,45,,CAN,54,38,41,45,41,44,42,31,0,0
Ray Edwards 3,46,Unknown,CAN,42,73,63,69,62,70,68,85,0,650000
Mike Johnston,47,Devils,CAN,58,66,87,89,81,71,68,54,3,1000000
Mike Stothers,48,Senators,CAN,53,62,81,84,66,60,59,64,4,750000
Peter Horachek,49,,CAN,55,50,59,70,66,58,56,48,0,0
Lindy Ruff,50,Sabres,CAN,55,94,74,99,85,90,84,60,1,1850000
Ralph Krueger,51,,CAN,55,69,64,49,59,50,48,42,0,0
Dallas Eakins,52,,USA,48,73,55,64,66,58,58,59,0,700000
Rick Kowalsky,53,,CAN,43,60,75,71,65,60,62,84,0,0
Mark Morris,54,,USA,54,64,66,68,74,81,80,85,1,750000
Michel Therrien,55,Bruins,CAN,51,93,93,89,85,80,78,68,4,3200000
Mike Babcock,56,Flyers,CAN,52,97,86,93,86,85,81,66,1,3500000
Mike Haviland,57,,USA,44,69,66,66,73,70,69,85,0,650000
Mike Keenan,58,Lightning,CAN,61,71,68,67,69,85,83,85,1,1500000
Rob Zettler,59,,CAN,47,50,71,76,64,60,60,76,0,0
Mike Sullivan,60,Phantoms,USA,44,68,67,66,72,68,69,85,2,900000
Craig Berube,61,Unknown,CAN,48,75,68,65,67,68,69,85,0,0
Ryan Huska,62,,CAN,40,58,66,78,65,60,63,90,0,0
Paul Maurice,63,Coyotes,CAN,48,69,88,91,82,88,85,74,2,2000000
Peter Laviolette,64,Predators,USA,50,93,88,92,87,83,80,70,3,2100000
Randy Carlyle,65,Penguins,CAN,59,65,72,83,85,81,75,52,1,1500000
Randy Cunneyworth,66,,CAN,54,53,50,51,50,43,41,37,0,600000
Sylvain Lefebvre,67,,CAN,47,69,73,71,68,60,60,76,0,0
Ted Dent,68,,CAN,45,68,80,78,67,60,61,80,0,0
Ted Nolan,69,,CAN,57,76,66,64,85,77,73,56,0,0
Todd Nelson,70,,CAN,46,84,66,77,87,71,72,78,0,0
Ron Wilson,71,Canucks,CAN,60,46,44,54,51,55,50,30,2,2500000
Tom Rowe,72,,USA,59,65,71,84,67,60,56,52,0,0
Roy Sommer,73,Icecaps,USA,58,84,77,78,71,60,57,54,3,750000
Travis Green,74,,CAN,44,78,80,77,70,60,61,82,0,0
Scott Arniel,75,Crunch,CAN,52,49,43,48,49,43,43,40,1,650000
Scott Gordon,76,,USA,52,45,37,45,39,37,36,33,0,825000
Troy Mann,77,,CAN,45,53,80,77,64,60,61,80,0,0
Dave Hakstol,78,Canadiens,CAN,47,71,73,70,77,50,72,70,3,1500000
Scott Niedermayer,79,Devils,CAN,42,60,77,65,71,60,73,70,3,725000
