Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Alain Vigneault,1,New York Rangers,CAN,54,72,60,70,85,63,71,70,3,5000000
Brad Shaw,3,,CAN,51,52,63,62,73,46,51,58,3,600000
Barry Trotz,4,Detroit Red Wings,CAN,53,88,99,70,85,99,95,89,1,5000000
Brad Larsen,5,,CAN,41,52,63,62,73,45,46,57,3,600000
Ian Laperriere,7,,CAN,44,54,44,57,52,45,46,50,3,400000
David Quinn,8,Philadelphia Flyers,USA,52,93,66,68,55,65,46,66,2,3000000
Willie Desjardins,9,,CAN,58,84,69,57,81,73,53,70,0,2500000
Mike Knuble,10,,CAN,45,31,57,50,51,47,35,45,3,400000
Bruce Boudreau,11,Los Angeles Kings,CAN,60,64,81,60,82,95,83,78,3,3500000
Bruce Cassidy,12,Minnesota Wild,CAN,50,78,94,84,57,74,70,76,4,3750000
Craig Berube,13,Chicago Blackhawks,CAN,49,66,91,78,88,70,61,76,3,2500000
Guy Boucher,14,,CAN,47,63,45,65,65,73,60,62,3,2600000
Claude Julien,15,Calgary Flames,CAN,55,96,82,80,78,99,88,87,3,5000000
Martin Gelinas,16,Barracuda,CAN,45,41,65,73,55,45,46,54,2,675000
Dave Barr,17,,CAN,58,47,53,73,48,45,46,52,1,500000
John Slaney,18,,CAN,47,37,67,59,60,47,35,51,0,600000
Brent Thompson,20,,CAN,44,73,49,59,69,57,47,59,0,0
Martin Raymond,22,,CAN,51,55,41,56,56,45,46,50,3,100000
Dean Evason,26,,CAN,51,48,61,45,62,45,46,51,0,0
Derek Laxdal,28,,CAN,51,47,41,62,56,56,45,51,0,1000000
Ryan Craig,29,,CAN,36,73,64,60,70,45,46,60,3,800000
Gord Dineen,31,,CAN,53,37,67,59,60,50,41,52,0,800000
Ryan McGill,32,,CAN,49,73,64,60,70,45,46,60,3,800000
Jared Bednar,33,Montreal Canadiens,CAN,43,67,77,85,60,71,52,69,2,2000000
Dave Lowry,34,,CAN,54,63,52,43,61,45,46,52,1,1000000
Don Nachbaur,36,,CAN,59,63,52,43,61,45,46,52,3,600000
John Hynes,37,Edmonton Oilers,USA,55,85,63,63,66,73,53,67,2,2000000
Jacques Martin,38,,CAN,66,74,59,68,59,81,77,70,1,2650000
Jon Cooper,39,Ottawa Senators,CAN,36,91,93,99,58,82,76,83,3,4500000
Joel Quenneville,40,Toronto Maple Leafs,CAN,57,45,45,70,75,99,99,72,1,3000000
Keith McCambridge,41,,CAN,41,67,67,58,53,59,43,58,0,0
John Torchetti,42,,USA,52,53,46,51,63,47,52,52,0,770000
John Tortorella,43,Florida Panthers,USA,60,69,84,82,97,99,89,87,2,3750000
Ken Hitchcock,44,New Jersey Devils,CAN,63,94,64,72,63,99,97,82,1,1500000
Marc Crawford,45,Griffins,CAN,58,73,55,75,75,99,83,77,1,750000
Mike Van Ryn,47,IceHogs,CAN,39,50,68,59,66,45,46,56,2,1340000
Mike Stothers,48,,CAN,55,74,35,43,46,55,49,50,0,750000
Lindy Ruff,50,Admirals,CAN,55,70,50,51,41,81,83,63,2,900000
Rocky Thompson,51,Marlies,CAN,42,65,59,51,59,50,48,55,4,750000
