Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Alain Vigneault,1,Islanders,CAN,53,72,60,70,85,63,71,70,1,3500000
Peter Andersson,2,,SWE,52,37,52,67,54,47,35,49,1,500000
Brad Shaw,3,,CAN,51,56,64,58,72,45,51,58,3,600000
Barry Trotz,4,Red Wings,CAN,52,79,78,87,63,63,75,74,2,5000000
Brad Larsen,5,,CAN,41,56,64,58,72,45,46,57,3,600000
Brad Lauer,6,,CAN,51,55,61,74,52,45,46,56,3,600000
Ian Laperriere,7,,CAN,44,53,58,61,61,45,46,54,3,400000
David Quinn,8,,USA,52,30,30,30,30,30,30,30,4,1600000
Willie Desjardins,9,Blackhawks,CAN,57,30,30,30,30,30,30,30,1,2500000
Mike Knuble,10,,CAN,45,54,53,58,52,47,35,50,3,400000
Bruce Boudreau,11,Kings,CAN,59,55,84,84,79,63,73,73,1,3000000
Bruce Cassidy,12,Wild,CAN,49,88,96,91,64,66,63,78,1,1200000
Craig Berube,13,IceHogs,CAN,48,65,68,50,68,45,53,58,2,1000000
Bruce Ramsay,14,,CAN,49,54,53,58,52,47,35,50,3,400000
Claude Julien,15,Capitals,CAN,54,99,63,58,76,63,74,72,1,3000000
Martin Gelinas,16,Crunch,CAN,45,50,55,47,43,48,47,48,1,1000000
Dave Barr,17,,CAN,57,44,65,62,68,45,46,55,1,500000
John Slaney,18,Roadrunners,CAN,46,32,65,49,64,35,35,47,1,600000
Curt Fraser,19,,USA,56,64,68,56,45,45,29,51,0,1000000
Brent Thompson,20,,CAN,43,77,59,49,43,56,45,55,0,0
Darryl Sutter,21,Devils,CAN,56,30,30,30,30,30,30,30,2,3000000
Martin Raymond,22,,CAN,51,53,32,36,47,45,46,43,3,100000
Doug Lidster,23,,CAN,57,30,30,30,30,30,30,30,3,100000
Mike Kitchen,24,,CAN,59,30,30,30,30,30,30,30,3,100000
Dave Cameron,25,,CAN,55,50,55,47,43,48,59,50,0,2000000
Dean Evason,26,,CAN,50,44,46,59,58,57,48,52,0,0
Dave Tippett,27,,CAN,53,30,30,30,30,30,30,30,0,3000000
Derek Laxdal,28,,CAN,50,60,50,61,62,54,45,55,0,1000000
Ryan Craig,29,,CAN,36,58,66,71,73,45,46,60,3,800000
Gerry Fleming,30,,CAN,48,53,65,37,77,53,42,55,0,0
Gord Dineen,31,,CAN,52,35,45,55,62,47,40,47,0,800000
Ryan McGill,32,,CAN,49,58,66,71,73,45,46,60,3,800000
Jared Bednar,33,Canadiens,CAN,42,64,79,85,73,63,46,68,3,2000000
Dave Lowry,34,Admirals,CAN,53,72,74,57,53,45,46,58,1,1000000
John Anderson,35,,CAN,57,41,63,63,59,45,49,53,0,800000
Don Nachbaur,36,,CAN,59,72,74,57,53,45,46,58,3,600000
John Hynes,37,Oilers,USA,54,82,76,79,77,63,51,71,3,2000000
Jacques Martin,38,,CAN,65,68,54,71,50,45,61,58,1,2650000
Jon Cooper,39,Senators,CAN,35,73,81,99,69,63,67,75,4,4500000
Joel Quenneville,40,Maple Leafs,CAN,56,57,68,69,93,63,93,74,2,3000000
Keith McCambridge,41,,CAN,40,56,40,52,65,57,44,52,0,0
John Torchetti,42,,USA,51,46,53,45,54,45,52,49,0,770000
John Tortorella,43,Panthers,USA,59,75,85,77,96,63,73,78,3,3750000
Ken Hitchcock,44,,CAN,62,85,90,75,60,63,79,75,0,2750000
Marc Crawford,45,,CAN,57,70,43,48,63,45,66,56,0,0
Ray Edwards 3,46,Unknown,CAN,45,73,63,69,62,70,68,85,0,650000
Mike Van Ryn,47,,CAN,39,38,77,58,75,49,51,58,3,600000
Mike Stothers,48,Senators,CAN,54,69,73,44,56,53,54,58,1,750000
Pierre Turgeon,49,,CAN,49,72,74,57,53,45,46,58,3,600000
Lindy Ruff,50,Sabres,CAN,54,54,45,53,64,49,66,55,1,3250000
Rocky Thompson,51,,CAN,41,50,64,71,68,50,47,58,3,600000
Dallas Eakins,52,Bears,USA,47,79,71,47,47,58,51,59,4,800000
Rick Kowalsky,53,,CAN,42,73,43,40,50,61,45,52,0,0
Steve Ott,54,,CAN,36,65,68,50,68,45,46,57,3,600000
Michel Therrien,55,,CAN,51,30,30,30,30,30,30,30,2,3200000
Mike Babcock,56,Flyers,CAN,51,63,82,97,94,63,75,79,1,4000000
Mark Recchi,57,,CAN,50,68,54,71,50,45,46,56,3,600000
Jeremy Colliton,59,,CAN,33,35,47,69,79,49,45,54,3,400000
Mike Sullivan,60,Coyotes,USA,50,91,72,94,66,63,75,77,3,4500000
Craig Berube,61,Unknown,CAN,51,75,68,65,67,68,69,85,0,0
Ryan Huska,62,Penguins,CAN,40,65,67,55,53,53,47,57,1,1100000
Paul Maurice,63,Bruins,CAN,47,84,93,96,78,63,57,79,2,3200000
Peter Laviolette,64,Predators,USA,49,69,97,90,55,63,73,75,3,3000000
Randy Carlyle,65,Flames,CAN,58,90,94,75,61,63,68,75,2,3500000
Kris Knoblauch,66,,CAN,40,53,58,61,61,45,46,54,3,400000
Sylvain Lefebvre,67,,CAN,47,60,35,49,44,57,40,48,0,0
Ted Dent,68,,CAN,44,30,30,30,30,30,30,30,0,0
Ted Nolan,69,Sound Tigers,CAN,60,76,66,64,85,77,73,56,1,600000
Todd Nelson,70,Condors,CAN,45,63,62,68,61,58,57,62,1,600000
Luke Richardson,71,,CAN,49,62,41,66,65,45,46,54,3,400000
Tom Rowe,72,,USA,59,30,30,30,30,30,30,30,0,0
Roy Sommer,73,,USA,57,56,69,35,67,74,54,59,0,750000
Travis Green,74,,CAN,44,75,63,63,75,63,43,64,0,800000
Scott Arniel,75,Americans,CAN,52,54,45,53,64,49,44,52,1,700000
Scott Gordon,76,,USA,55,40,56,77,71,61,51,59,0,825000
Troy Mann,77,,CAN,46,69,41,46,49,54,47,51,0,0
Dave Hakstol,78,Lightning,USA,49,70,77,81,81,63,56,71,2,5000000
Scott Niedermayer,79,Devils,CAN,45,60,77,65,71,60,73,70,2,775000
Terry Murray,80,,CAN,64,30,30,30,30,30,30,30,0,1800000
Todd Richards,81,,USA,48,55,61,74,52,45,54,57,0,1500000
Scott Gomez,82,,CAN,39,62,41,66,65,45,46,54,3,400000
Matt Bertani,83,,USA,42,62,41,66,65,45,46,54,1,500000
Trent Yawney,85,,CAN,50,68,71,56,46,48,39,55,1,450000
Bob Boughner,86,Barracuda,CAN,47,67,75,79,58,63,60,67,1,1750000
Andrew Brewer,87,,CAN,32,47,62,73,71,45,46,57,1,500000
Brent Sutter,88,,CAN,56,58,50,49,50,46,44,38,0,750000
Kevin Dineen,89,,CAN,51,43,51,52,70,45,45,51,1,1000000
Matt Carkner,91,,CAN,37,65,50,42,37,47,35,46,1,500000
Guy Boucher,92,Blues,CAN,46,93,57,64,84,63,55,69,1,2000000
