Number,Transaction
20001,<font color="Black">[2014-04-26 18:32:23] - Steve Sullivan of Penguins was sent to pro.</font>
20002,<font color="Black">[2014-04-26 18:32:23] - Auto Roster Partial Function has been run for Penguins.</font>
20003,<font color="Black">[2014-04-26 18:32:23] - Auto Lines Partial Function has been run for Penguins.</font>
20004,[2014-04-26 18:32:23] - Blues roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20005,<font color="Black">[2014-04-26 18:32:23] - Auto Roster Partial Function has been run for Blues.</font>
20006,<font color="Black">[2014-04-26 18:32:23] - Auto Lines Partial Function has been run for Blues.</font>
20007,<font color="Red">[2014-04-26 18:33:20] - Game 1055 - Kyle Palmieri from Flyers is injured  (Fractured Left Foot) and is out for 2 months.</font>
20008,<font color="Red">[2014-04-26 18:33:20] - Game 1055 - Martin St. Louis from Blues is injured  (Herniated Disc) and is out for 1 week.</font>
20009,<font color="Red">[2014-04-26 18:33:21] - Game 1057 - Chris Conner from Wild is injured  (Right Leg) and is out for 2 days.</font>
20010,[2014-04-26 18:33:21] - Clarke MacArthur from Wild has scored a Hat Trick!
20011,[2014-04-26 18:33:21] - Zach Parise from Stars has scored a Hat Trick!
20012,<font color="Red">[2014-04-26 18:33:21] - Game 1059 - Mike Komisarek from Kings is injured  (Bruised Right Arm) and is out for 2 days.</font>
20013,<font color="Red">[2014-04-26 18:33:21] - Game 1060 - Patrick Eaves from Canadiens is injured  (Bruised Left Arm) and is out for 1 week.</font>
20014,<font color="Red">[2014-04-26 18:33:21] - Game 1061 - Trevor Smith from Rangers is injured  (Bruised Right Arm) and is out for 2 weeks.</font>
20015,<font color="Red">[2014-04-26 18:33:21] - Game 1063 - Nathan Lawson from Coyotes is injured  (Right Knee) and is out for 3 days.</font>
20016,<font color="Red">[2014-04-26 18:33:21] - Game 1063 - Rene Bourque from Bruins is injured  (Right Eye) and is out for 1 week.</font>
20017,[2014-04-26 18:33:22] - Hurricanes lines for next game are empty. Current rosters/lines are not erased.
20018,[2014-04-26 18:33:22] - Aeros lines for next game are empty. Current rosters/lines are not erased.
20019,[2014-04-26 18:33:22] - Canadiens lines for next game are empty. Current rosters/lines are not erased.
20020,[2014-04-26 18:33:22] - Admirals lines for next game are empty. Current rosters/lines are not erased.
20021,[2014-04-26 18:33:22] - Senators lines for next game are empty. Current rosters/lines are not erased.
20022,[2014-04-26 18:33:22] - Coyotes lines for next game are empty. Current rosters/lines are not erased.
20023,[2014-04-26 18:33:22] - Pirates lines for next game are empty. Current rosters/lines are not erased.
20024,[2014-04-26 18:33:22] - Sharks lines for next game are empty. Current rosters/lines are not erased.
20025,[2014-04-26 18:33:22] - Lightning lines for next game are empty. Current rosters/lines are not erased.
20026,[2014-04-26 18:33:22] - Admirals lines for next game are empty. Current rosters/lines are not erased.
20027,[2014-04-26 18:33:22] - Capitals lines for next game are empty. Current rosters/lines are not erased.
20028,<font color="Red">[2014-04-26 18:33:22] - Matt DAgostini from Penguins is back from Left Forearm Injury.</font>
20029,<font color="Red">[2014-04-26 18:33:22] - Chris Conner from Wild is back from Right Leg Injury.</font>
20030,<font color="Red">[2014-04-26 18:33:22] - Mike Komisarek from Kings is back from Bruised Right Arm Injury.</font>
20031,<font color="Red">[2014-04-26 18:33:22] - Nathan Lawson from Coyotes is back from Right Knee Injury.</font>
20032,[2014-04-26 18:33:28] - Current fund for Jets is under 0 kr.
20033,[2014-04-26 18:33:30] - Current fund for Islanders is under 0 kr.
20034,[2014-04-26 18:33:31] - Current fund for Senators is under 0 kr.
20035,[2014-04-26 18:33:31] - Current fund for Penguins is under 0 kr.
20036,[2014-04-26 18:33:31] - Current fund for Canucks is under 0 kr.
20037,[2014-04-26 18:34:15] - Current fund for Jets is under 0 kr.
20038,[2014-04-26 18:34:16] - Current fund for Islanders is under 0 kr.
20039,[2014-04-26 18:34:17] - Current fund for Senators is under 0 kr.
