Own by Team,From Team,Year,Round
1,1,11,1
1,1,10,1
1,1,10,2
1,1,11,2
1,1,10,3
1,1,11,3
1,1,10,4
1,1,10,5
1,1,11,4
1,1,7,1
1,1,11,5
1,1,10,6
1,1,7,3
1,1,9,1
1,1,7,5
1,1,11,6
1,1,9,2
1,1,7,7
1,1,9,3
1,1,9,4
1,1,9,5
1,1,10,7
1,1,9,6
1,1,9,7
1,1,8,1
1,1,11,7
1,24,7,5
1,1,8,2
1,1,8,4
1,1,8,5
1,1,8,6
1,1,8,7
2,2,11,1
2,2,11,2
2,2,10,1
2,2,10,2
2,2,10,3
2,2,10,4
2,7,7,3
2,2,7,1
2,2,8,1
2,2,8,2
2,2,7,2
2,2,7,3
2,2,7,4
2,2,11,3
2,2,8,3
2,2,8,4
2,2,7,6
2,2,7,7
2,2,10,5
2,2,8,5
2,2,8,6
2,2,8,7
2,2,10,6
2,2,9,1
2,2,9,2
2,2,9,3
2,2,9,4
2,2,9,5
2,2,10,7
2,20,7,2
2,2,9,6
2,2,9,7
2,2,11,4
2,21,7,4
2,2,11,5
2,2,11,6
2,2,11,7
2,20,8,1
2,7,9,2
2,7,8,7
3,3,11,1
3,3,10,1
3,3,10,2
3,3,10,3
3,3,10,4
3,12,7,7
3,8,7,7
3,3,7,1
3,3,7,4
3,3,8,1
3,3,11,2
3,10,7,4
3,3,7,5
3,3,9,1
3,3,9,2
3,3,8,2
3,3,8,3
3,3,8,4
3,3,8,5
3,3,8,6
3,3,8,7
3,24,7,7
3,3,9,3
3,3,9,4
3,3,9,5
3,3,9,6
3,3,9,7
3,3,10,5
3,5,7,5
3,3,11,3
3,3,10,6
3,3,10,7
3,3,11,4
3,3,11,5
3,3,11,6
3,3,7,6
3,3,11,7
3,7,7,4
3,16,8,4
3,16,8,7
4,21,8,3
4,4,11,1
4,4,11,2
4,4,11,3
4,24,7,2
4,4,11,4
4,4,11,5
4,4,11,6
4,4,7,1
4,4,11,7
4,4,7,2
4,3,7,2
4,4,7,4
4,10,8,4
4,17,7,7
4,4,7,6
4,4,7,7
4,7,8,4
4,4,9,1
4,4,10,1
4,4,9,2
4,4,10,2
4,4,9,3
4,4,10,3
4,4,10,4
4,4,9,4
4,4,10,5
4,4,10,6
4,4,10,7
4,24,8,4
4,2,7,5
4,22,7,2
4,4,9,5
4,26,8,6
4,4,9,6
4,4,9,7
4,4,8,1
4,4,8,2
4,4,8,3
4,4,8,4
4,4,8,5
4,4,8,6
5,5,9,1
5,5,9,2
5,5,9,3
5,5,9,4
5,5,11,1
5,5,11,2
5,5,11,3
5,10,7,1
5,5,8,1
5,5,11,4
5,5,11,5
5,10,7,5
5,5,11,6
5,10,7,6
5,5,8,2
5,5,8,3
5,5,8,4
5,5,8,5
5,5,8,6
5,5,8,7
5,5,9,5
5,5,9,6
5,5,9,7
5,5,10,1
5,5,11,7
5,5,10,2
5,5,10,3
5,5,10,4
5,5,10,5
5,5,10,6
5,5,10,7
5,5,7,7
6,6,10,1
6,16,7,7
6,6,10,2
6,6,10,3
6,6,10,4
6,6,10,5
6,21,8,7
6,30,7,7
6,7,8,5
6,6,11,1
6,6,11,2
6,6,10,6
6,6,10,7
6,6,11,3
6,6,8,2
6,6,11,4
6,6,11,5
6,6,8,4
6,6,8,5
6,6,8,6
6,6,8,7
6,26,7,7
6,6,9,1
6,6,9,2
6,7,8,6
6,6,9,3
6,7,7,6
6,6,9,4
6,6,11,6
6,6,9,5
6,6,9,6
6,6,11,7
6,7,8,2
6,3,7,7
6,19,8,5
6,6,9,7
7,7,11,1
7,7,11,2
7,7,11,7
7,7,10,1
7,7,11,3
7,7,10,2
7,7,11,4
7,7,11,5
7,7,10,3
7,7,9,1
7,7,9,3
7,7,10,4
7,7,10,5
7,7,9,4
7,7,9,5
7,7,9,6
7,7,10,6
7,7,10,7
7,7,11,6
8,8,11,1
8,8,8,1
8,8,8,2
8,8,11,2
8,8,8,3
8,8,7,1
8,8,7,2
8,8,9,1
8,8,11,3
8,8,8,4
