Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Crunch,SYR,Syracuse,Pacific Division,Western Conference,0,0,0,0,,76370,117,8,50,False,2,0,,W8,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,16,21,3,4,4,0,0,0,0,0,0,10,1,16,2,13,0,0,198,62,25,75,55,68,0,9,4,8,0,4631,19647,4522,1607,16073,3150,6,21,41,62,41,126,63,81,168,207,79,91,0,
2,IceCaps,STJ,St John's,Southeast Division,Eastern Conference,0,0,0,0,,33231,42,8,50,False,15,0,,W1,3,3,0,0,0,1,1,8,3,3,0,0,0,1,1,9,12,15,4,2,2,0,0,0,0,0,5,6,15,1,10,1,0,123,115,32,33,47,39,11,2,6,3,2,8858,15425,5117,2372,12170,2893,0,12,20,32,22,127,57,109,91,156,57,110,0,
3,Bruins,PRO,Providence,Northeast Division,Eastern Conference,0,0,0,0,,56587,119,8,50,False,20,0,,L3,2,5,0,0,1,0,0,8,2,5,0,0,1,0,0,5,14,20,4,1,2,0,0,1,0,0,7,7,23,2,7,0,0,163,177,49,48,65,50,0,5,4,5,0,14107,9511,5212,3247,7080,2239,0,14,28,42,14,149,59,180,58,147,31,99,0,
4,Americans,ROC,Rochester,Northeast Division,Eastern Conference,0,0,0,0,,42106,10,8,50,False,6,0,,W3,6,2,0,0,0,0,0,8,6,2,0,0,0,0,0,12,18,6,4,3,1,0,0,0,0,0,14,4,12,1,25,1,0,167,76,13,58,50,59,0,7,8,3,0,5745,18205,4850,1812,14730,3237,4,18,31,49,48,147,90,115,137,176,75,96,0,
5,Heat,ABH,Abbotsford,Northwest Division,Western Conference,0,0,0,0,,17865,118,8,50,False,11,0,,L1,4,3,0,1,0,0,0,8,4,3,0,1,0,0,0,10,15,8,4,3,1,0,0,0,0,0,10,4,19,2,10,1,0,193,132,39,56,63,70,4,5,3,6,1,10018,13658,5258,2837,10632,2742,2,15,25,40,20,146,98,183,119,203,53,95,0,
6,Checkers,CHR,Charlotte,Southeast Division,Eastern Conference,0,0,0,0,,21753,107,8,50,False,7,0,,W1,4,1,0,0,1,2,0,8,4,1,0,0,1,2,0,13,18,6,4,2,1,0,0,0,1,0,10,2,14,1,20,0,0,155,142,31,43,54,54,11,3,6,7,3,13030,11061,5417,3268,8427,2357,3,18,30,48,60,175,73,204,61,143,34,98,0,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,0,,12404,89,8,50,False,29,0,,L3,0,6,0,0,1,1,0,8,0,6,0,0,1,1,0,3,10,25,4,0,3,0,0,0,1,0,6,11,19,1,4,0,0,180,222,66,48,64,64,6,4,4,1,1,14021,9970,5347,3272,7233,2498,0,10,18,28,8,162,79,167,68,175,42,105,0,
8,Monsters,LEM,Lake  Erie,Northwest Division,Western Conference,0,0,0,0,,31724,14,8,50,False,17,0,,L3,1,5,0,1,0,1,0,8,1,5,0,1,0,1,0,6,15,18,4,1,2,0,0,0,1,0,9,8,17,4,14,3,0,166,179,44,54,56,48,10,7,3,3,3,11971,12182,5226,3006,9327,2642,1,15,26,41,28,156,63,161,104,180,42,95,0,
9,Falcons,SPR,Springfield,Central Division,Western Conference,419,0,0,0,,53899,9,8,50,False,5,0,,L1,7,1,0,0,0,0,0,8,7,1,0,0,0,0,0,14,25,11,4,4,0,0,0,0,0,0,14,5,14,1,10,1,0,224,146,39,57,82,85,0,6,11,8,0,8249,15763,4788,2362,12831,2766,3,25,37,62,18,127,106,149,118,167,69,104,0,
10,Stars,TEX,Texas,Pacific Division,Western Conference,0,0,0,0,,27205,97,8,50,False,10,0,,W1,5,3,0,0,0,0,0,8,5,3,0,0,0,0,0,10,18,8,4,2,2,0,0,0,0,0,10,5,12,2,13,1,0,184,154,40,59,64,61,0,5,7,6,0,12214,11594,4992,2900,9038,2401,3,18,30,48,31,147,98,200,68,134,50,97,0,
