Number,Transaction
20001,[9/14/2014 10:42:05 PM] - Thomas McCollum was released by Flyers.
20002,[9/14/2014 10:42:21 PM] - Flyers roster errors : Not enough Forward available in Pro Team! 7 Dressed. 9 Required.
Not enough Defenseman available in Pro Team! 3 Dressed. 6 Required.
Not enough Players available in Pro Team! 10 Dressed. 18 Required.
Some errors will be automatically fixed.

20003,[9/14/2014 10:42:31 PM] - Flyers paid $0 to release Philip Larsen.
20004,[9/14/2014 10:42:31 PM] - Philip Larsen was released by Flyers.
20005,[9/14/2014 10:42:39 PM] - Flyers paid $0 to release Martin St. Pierre.
20006,[9/14/2014 10:42:39 PM] - Martin St. Pierre was released by Flyers.
20007,[9/14/2014 10:43:00 PM] - Rangers roster errors : Not enough Defenseman available in Pro Team! 4 Dressed. 6 Required.
Not enough Players available in Pro Team! 14 Dressed. 18 Required.
Some errors will be automatically fixed.

20008,[9/14/2014 10:43:16 PM] - Rangers paid $0 to release Ben Eager.
20009,[9/14/2014 10:43:16 PM] - Ben Eager was released by Rangers.
20010,[9/14/2014 10:43:33 PM] - Hurricanes roster errors : Not enough Right Wings available in Pro Team! 2 Dressed. 3 Required.
Not enough Forward available in Pro Team! 6 Dressed. 9 Required.
Not enough Defenseman available in Pro Team! 3 Dressed. 6 Required.
Not enough Players available in Pro Team! 9 Dressed. 18 Required.
Some errors will be automatically fixed.

20011,[9/14/2014 10:43:46 PM] - Hurricanes paid $0 to release Roman Horak.
20012,[9/14/2014 10:43:46 PM] - Roman Horak was released by Hurricanes.
20013,[9/14/2014 10:44:08 PM] - Kings roster errors : Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 16 Dressed. 18 Required.
Some errors will be automatically fixed.

20014,[9/14/2014 10:44:29 PM] - Kings paid $0 to release Matt Gilroy.
20015,[9/14/2014 10:44:29 PM] - Matt Gilroy was released by Kings.
20016,[9/14/2014 10:44:39 PM] - Kings paid $0 to release Chuck Kobasew.
20017,[9/14/2014 10:44:39 PM] - Chuck Kobasew was released by Kings.
20018,[9/14/2014 10:45:22 PM] - Kings paid $0 to release Keith Aucoin.
20019,[9/14/2014 10:45:22 PM] - Keith Aucoin was released by Kings.
