Team Number,Prospect Name,Year,Overall Pick
11,Luca Cunti,0,0
22,Brandon Kozun,0,0
7,Nathan MacKinnon,2013,1
4,Justin Vaive,0,0
7,Jonathan Drouin,2013,2
4,Ivan Telegin,2010,91
7,Daniil Zharkov,2012,66
14,Seth Jones,2013,3
26,Aleksander Barkov,2013,4
1,Sean Monahan,2013,5
21,Ryan Strome,2011,5
14,Elias Lindholm,2013,6
15,Stephen Silas,2010,93
9,Ryan Murray,2012,2
18,Nicolas Blanchard,0,0
7,Calle Andersson,2012,98
30,Valeri Nichushkin,2013,7
1,Griffin Reinhart,2012,4
4,Nick Larson,0,0
23,Darnell Nurse,2013,8
1,Morgan Rielly,2012,5
8,Alexander Wennberg,2013,9
17,Mark Scheifele,2011,9
1,Bo Horvat,2013,10
28,Mathew Dumba,2012,6
2,Max Domi,2013,11
16,Evan Campbell,2013,162
1,Sven Baertschi,2011,11
1,Filip Forsberg,2012,7
1,Jacob Trouba,2012,8
30,Radek Faksa,2012,9
7,Ryan Murphy,2011,12
24,Bradley Eidsness,0,0
13,John Ramage,2010,94
1,Zemgus Girgensons,2012,10
4,Mikhail Grigorenko,2012,11
8,Hampus Lindholm,2012,12
9,Joel Armia,2011,13
22,Kevin Lalande,0,0
9,Curtis Lazar,2013,12
23,Tanner Richard,2012,99
14,Duncan Siemens,2011,15
24,Kyle Lawson,0,0
28,Olli Maatta,2012,13
9,Oscar Klefbom,2011,16
9,Hunter Shinkaruk,2013,13
4,Joseph Lavin,0,0
24,Drew MacKenzie,0,0
21,Brendan Burke,2013,163
23,Derrick Pouliot,2012,14
25,Samuel Morin,2013,14
22,Maxim Chudinov,2010,95
8,Jonathan Miller,2011,18
4,Teuvo Teravainen,2012,16
1,Mark McNeill,2011,19
14,Connor Murphy,2011,20
4,Corbin McPherson,0,0
14,Malcolm Subban,2012,17
12,Joe Morrow,2011,21
1,Bill Arnold,2010,96
14,J.C. Lipon,2013,93
5,Jerome Gauthier-Leduc,2010,97
2,Cody Ceci,2012,18
27,Alexander Guptill,2010,98
21,Troy Rutkowski,2010,99
20,Stefan Noesen,2011,22
15,Nikita Zadorov,2013,15
