Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
1,Jonas Gustavsson,http://tsn.ca/nhl/teams/players/bio/?id=7800,23,SWE,1984-07-01,192,75,1,False,False,False,False,False,True,True,False,0,1800000,0,0,0,0,0,0,0,0,0,,31,100,0,2,2,2,2,2,2,2,2,2,2,75,63,73,77,75,76,70,76,75,85,74,70,70,31,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,Ondrej Pavelec,http://tsn.ca/nhl/teams/players/bio/?id=5337,9,CZE,1987-07-01,220,75,2,False,False,False,False,False,True,True,False,0,4500000,4500000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,81,95,96,77,80,84,83,82,83,75,75,64,73,55,50,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,Nikolai Khabibulin,http://tsn.ca/nhl/teams/players/bio/?id=1061,15,RUS,1973-07-01,208,73,2,False,False,False,False,True,True,True,False,0,1800000,1800000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,77,67,78,69,79,81,81,82,83,69,71,92,86,5,50,76,2,4799,1,0,0,0,3,37,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,Ray Emery,http://tsn.ca/nhl/teams/players/bio/?id=2514,2,CAN,1982-07-01,196,74,3,False,False,False,False,True,True,True,False,0,4000000,4000000,4000000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,2,2,2,2,80,71,73,73,84,87,85,82,81,76,78,74,79,15,50,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,Miikka Kiprusoff,http://tsn.ca/nhl/teams/players/bio/?id=292,0,FIN,1976-07-01,185,73,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,78,82,87,69,81,83,79,80,81,79,70,86,87,5,50,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,Alexander Salak,http://tsn.ca/nhl/teams/players/bio/?id=4453,0,CZE,1987-07-01,189,75,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,45,49,59,77,60,56,50,50,49,49,49,62,67,63,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,Jonathan Bernier,http://tsn.ca/nhl/teams/players/bio/?id=5874,25,CAN,1988-07-01,185,72,2,True,False,False,False,False,True,True,False,0,3000000,3000000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,2,2,85,78,82,65,84,87,82,83,83,90,61,62,69,63,50,78,7,25044,3,3,1,0,22,214,0,0,0,0,0,7,0,0,1,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,Curtis McElhinney,http://tsn.ca/nhl/teams/players/bio/?id=2967,1,CAN,1983-07-01,206,74,2,False,False,False,False,True,True,True,False,0,1100000,1100000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,61,57,69,73,68,68,66,67,68,65,55,72,71,23,50,66,3,6621,0,0,0,0,1,52,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,Kari Lehtonen,http://tsn.ca/nhl/teams/players/bio/?id=2893,1,FIN,1983-07-01,217,76,3,False,False,False,False,False,True,True,False,0,5500000,5500000,5500000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,96,96,93,81,84,84,88,88,88,96,79,72,78,23,50,84,24,82854,13,9,2,2,53,592,0,0,0,0,0,24,0,1,4,2,0,1745,2295,4164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
10,Martin Biron,http://tsn.ca/nhl/teams/players/bio/?id=125,26,CAN,1977-07-01,186,74,2,False,False,False,False,True,True,True,False,0,2300000,2300000,0,0,0,0,0,0,0,0,,8,100,0,3,3,3,3,3,3,3,3,3,2,76,59,67,73,80,80,78,77,77,80,66,84,82,5,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
11,Dan Ellis,http://tsn.ca/nhl/teams/players/bio/?id=2259,2,CAN,1980-07-01,191,73,1,False,False,False,False,False,True,True,False,0,1850000,0,0,0,0,0,0,0,0,0,,2,100,0,1,1,1,1,1,1,1,1,1,1,82,70,83,69,76,72,74,76,77,92,64,78,79,5,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,Ryan Miller,http://tsn.ca/nhl/teams/players/bio/?id=2045,4,USA,1980-07-01,175,74,3,False,False,False,False,False,True,True,False,0,7950000,7950000,7950000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,87,96,97,73,90,83,88,89,90,75,80,78,85,5,50,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
13,Erik Ersberg,,0,SWE,1982-07-01,168,72,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,82,71,48,78,82,80,80,83,83,74,82,62,62,50,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
14,Jonathan Quick,http://tsn.ca/nhl/teams/players/bio/?id=5348,29,USA,1986-07-01,218,73,3,False,False,False,False,False,True,True,False,0,4000000,4000000,4000000,0,0,0,0,0,0,0,,0,100,0,3,2,2,2,2,2,2,2,2,2,82,96,89,69,82,88,86,83,83,77,67,66,76,47,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
15,Jeff Drouin-Deslauriers,http://tsn.ca/nhl/teams/players/bio/?id=2833,15,CAN,1984-07-01,202,76,1,False,False,False,False,False,True,True,False,0,800000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,45,54,67,81,60,54,52,53,52,52,55,70,73,31,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
16,Dwayne Roloson,http://tsn.ca/nhl/teams/players/bio/?id=938,0,CAN,1969-07-01,170,73,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,70,81,87,69,79,72,73,75,77,68,77,98,92,5,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
17,Steve Mason,http://tsn.ca/nhl/teams/players/bio/?id=5881,16,CAN,1988-07-01,217,76,2,False,False,False,False,False,True,True,False,0,3200000,3200000,0,0,0,0,0,0,0,0,,0,100,0,3,2,2,2,2,2,2,2,2,2,84,75,84,81,77,82,79,79,79,91,65,62,72,63,50,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
18,Brent Johnson,http://tsn.ca/nhl/teams/players/bio/?id=1779,0,USA,1977-07-01,199,75,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,72,65,67,77,71,72,68,67,66,89,64,82,78,5,50,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
19,Ben Bishop,http://tsn.ca/nhl/teams/players/bio/?id=5131,8,USA,1987-07-01,214,79,1,False,False,False,False,False,True,True,False,0,1250000,0,0,0,0,0,0,0,0,0,,2,100,0,3,3,3,3,2,2,2,2,2,2,83,82,87,93,84,82,85,86,84,72,79,66,69,47,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
20,Peter Mannino,http://tsn.ca/nhl/teams/players/bio/?id=4687,13,USA,1984-07-01,195,73,1,False,False,False,False,False,True,True,False,0,550000,0,0,0,0,0,0,0,0,0,,47,100,0,3,3,3,3,3,3,3,3,3,3,51,54,64,69,62,60,58,60,60,58,55,70,69,31,50,60,1,3591,0,1,0,0,5,27,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
21,Tim Thomas,http://tsn.ca/nhl/teams/players/bio/?id=1591,19,USA,1974-07-01,201,71,1,False,False,False,False,False,True,True,False,0,2500000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,2,2,90,93,89,61,86,84,90,90,92,83,85,88,88,5,50,83,6,19541,2,3,1,0,15,115,0,0,0,0,0,6,0,0,0,1,0,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
22,Corey Crawford,http://tsn.ca/nhl/teams/players/bio/?id=3760,16,CAN,1984-07-01,208,74,5,False,False,False,False,True,True,True,False,0,5450000,5450000,5450000,5450000,5450000,0,0,0,0,0,,2,100,0,3,2,2,2,2,2,2,2,2,2,85,87,82,73,86,90,90,88,87,74,74,70,75,31,50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
23,Johan Backlund,http://tsn.ca/nhl/teams/players/bio/?id=7286,0,SWE,1981-07-01,198,74,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,46,55,66,73,60,57,55,56,56,54,61,74,71,15,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
24,Simeon Varlamov,http://tsn.ca/nhl/teams/players/bio/?id=5536,24,RUS,1988-07-01,209,74,4,False,False,False,False,False,True,True,False,0,4500000,4500000,4500000,4500000,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,87,92,90,73,84,87,85,87,88,82,73,62,74,63,50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
25,Michael Leighton,http://tsn.ca/nhl/teams/players/bio/?id=2002,0,CAN,1981-07-01,186,75,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,57,54,66,77,69,63,63,64,64,64,57,76,77,7,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
26,Anton Khudobin,http://tsn.ca/nhl/teams/players/bio/?id=4642,5,KAZ,1986-07-01,203,71,3,False,False,False,False,False,True,True,False,0,850000,850000,850000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,2,2,2,2,76,62,70,61,78,79,80,81,82,69,65,66,67,47,50,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
27,Peter Budaj,http://tsn.ca/nhl/teams/players/bio/?id=2386,12,SVK,1983-07-01,195,73,1,False,False,False,False,False,True,True,False,0,1610000,0,0,0,0,0,0,0,0,0,,53,100,0,3,3,3,3,3,3,3,3,3,3,73,64,69,69,77,80,76,75,75,75,74,74,76,15,50,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
28,John Curry,http://tsn.ca/nhl/teams/players/bio/?id=5069,0,USA,1984-07-01,185,71,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,45,50,59,61,60,54,50,53,53,53,55,70,65,31,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
29,Andrew Raycroft,http://tsn.ca/nhl/teams/players/bio/?id=1461,0,CAN,1980-07-01,180,73,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,59,64,75,69,71,64,66,69,69,63,63,76,77,7,50,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
