Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacity #1,ArenaCapacity #2,TicketPrice #1,TicketPrice #2,Attendance #1,Attendance #2,ScheduleGameInAYear,SalaryCapToDate,SalaryCapPerDay,TotalPlayersSalaries,TotalPlayersSalariesAverage,Expenses Per Days,TotalAttendance,TotalIncome,ExpenseThisSeason,SeasonTicketPCT,TeamPopularity,CoachID,Empty3,Morale,PowerRanking,StandingPlayoffTitle,DidNotMakePlayoff,PlayOffWinRound,PlayOffEliminated,UniqueID,EstimatedRevenue,EstimatedSeasonExpense,Empty4,Empty5,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal,
1,Gulls,SDG,San Diego,Pacific Division,Western Conference,0,0,0,2000,1000,35,0,0,0,0,0,0,1387963,1391047,0,0,0,0,0,100,120,,50,1,,False,0,False,1,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Moose,MAN,Manitoba,Central Division,Western Conference,0,0,0,2000,1000,33,0,0,0,0,0,0,1038917,1038917,0,0,0,0,0,100,246,,50,2,,False,0,False,2,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Bruins,PRO,Providence,Atlantic,Eastern Conference,0,0,0,2000,1000,100,0,0,0,0,0,0,1654541,1654541,0,0,0,0,0,100,87,,50,3,,False,0,False,3,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4, Americans,ROC,Rochester,Central Division,Western Conference,0,0,0,2000,1000,100,0,0,0,0,0,0,1628833,1622167,0,0,0,0,0,100,75,,50,4,,False,0,False,4,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Heat,STK,Stockton,Pacific Division,Western Conference,0,4262,0,2000,1000,100,0,0,0,0,0,0,1555582,1547582,0,0,0,0,0,100,77,,50,5,,False,0,False,5,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Checkers,CHR,Charlotte,Atlantic,Eastern Conference,0,0,0,2000,1000,50,0,0,0,0,0,0,2650916,2370999,0,0,0,0,0,100,283,,50,6,,True,0,True,6,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,2000,1000,50,0,0,0,0,0,0,1325666,1315666,0,0,0,0,0,100,164,,50,7,,False,0,False,7,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Eagles,COL,Colorado,Pacific Division,Western Conference,0,0,0,2000,1000,59,0,0,0,0,0,0,760000,760000,0,0,0,0,0,100,233,,50,8,,True,0,True,8,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Monsters,CLE,Cleveland,North,Eastern Conference,3028,3082,0,2000,1000,100,0,0,0,0,0,0,872833,872833,0,0,0,0,40,100,66,,50,9,,False,0,False,9,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Stars,TEX,Texas,Central Division,Western Conference,0,0,0,2000,1000,35,0,0,0,0,0,0,1510834,1502250,0,0,0,0,0,100,93,,50,10,,True,0,True,10,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Griffins,GRP,Grand Rapids,North,Eastern Conference,1723,0,0,2000,1000,55,0,0,0,0,0,0,1507083,1507083,0,0,0,0,0,100,214,,50,11,,False,0,False,11,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Condors,BKR,Bakersfield,Pacific Division,Western Conference,0,0,0,2000,1000,65,0,0,0,0,0,0,2296666,2294166,0,0,0,0,0,100,110,,50,12,,False,0,False,12,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Thunderbirds,SPR,Springfield,Atlantic,Eastern Conference,0,0,0,2000,1000,55,0,0,0,0,0,0,1372972,1372972,0,0,0,0,0,100,235,,50,13,,False,0,False,13,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Reign,ONT,Ontario,Pacific Division,Western Conference,0,0,0,2000,1000,40,0,0,0,0,0,0,1137591,1045091,0,0,0,0,0,100,125,,50,14,,True,0,True,14,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Wild,IOA,Iowa,Central Division,Western Conference,0,0,0,2000,1000,35,0,0,0,0,0,0,1669667,1669667,0,0,0,0,0,100,137,,50,15,,True,0,True,15,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Rocket,LAV,Laval,North,Eastern Conference,0,0,0,2000,1000,58,0,0,0,0,0,0,1217500,1215833,0,0,0,0,0,100,129,,50,16,,False,0,False,16,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Admirals,MIL,Milwaukee,Central Division,Western Conference,0,0,0,2000,1000,100,0,0,0,0,0,0,1057667,1043667,0,0,0,0,0,100,55,,50,17,,False,0,False,17,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Comets,UTI,Utica,North,Eastern Conference,0,0,0,2000,1000,55,0,0,0,0,0,0,1573866,1570366,0,0,0,0,0,100,255,,50,18,,True,0,True,18,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Sound Tigers,BPT,Bridgeport,Atlantic,Eastern Conference,0,0,0,2000,1000,19,0,0,0,0,0,0,1480417,1278083,0,0,0,0,0,100,50,,50,19,,True,0,True,19,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
