Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Alain Vigneault,1,Rangers,CAN,59,81,83,86,84,89,83,57,1,5000000
Andre Tourigny,2,Senators,CAN,47,60,60,60,60,60,60,60,5,1500000
Brad Shaw,3,,CAN,56,64,70,61,72,84,78,63,3,600000
Barry Trotz,4,Oilers,CAN,58,86,92,83,93,87,81,59,3,5000000
Brad Larsen,5,,CAN,43,65,71,61,72,65,60,82,3,600000
Alex Burrows,6,,CAN,40,73,68,72,67,60,56,85,0,0
Ian Laperriere,7,,CAN,47,64,66,69,67,71,66,78,3,400000
David Quinn,8,Flyers,USA,54,79,84,86,74,81,76,67,2,3150000
Willie Desjardins,9,,CAN,60,84,69,57,81,73,53,70,0,2500000
Mike Knuble,10,,CAN,47,31,57,50,51,47,35,45,3,400000
Bruce Boudreau,11,Kings,CAN,66,70,76,80,77,99,92,43,1,3500000
Bruce Cassidy,12,Wild,CAN,55,84,95,87,80,83,77,65,2,3750000
Craig Berube,13,Blackhawks,CAN,55,81,89,86,85,83,77,65,1,2500000
Guy Boucher,14,,CAN,49,63,45,65,65,73,60,62,2,1500000
Claude Julien,15,Flames,CAN,60,85,83,79,81,90,84,55,1,5000000
Martin Gelinas,16,,CAN,50,64,71,66,68,75,70,75,0,675000
Dave Barr,17,,CAN,60,47,53,73,48,45,46,52,1,500000
John Slaney,18,,CAN,49,37,67,59,60,47,35,51,0,600000
Andrew Brunette,19,,CAN,47,65,70,75,66,71,66,78,0,0
Brent Thompson,20,,CAN,50,68,62,60,68,78,73,75,0,0
Benoit Groulx,21,,CAN,53,76,75,73,79,82,77,69,0,0
Martin Raymond,22,,CAN,53,55,41,56,56,45,46,50,3,100000
Brian Wiseman,23,,CAN,49,66,71,72,67,74,69,76,0,0
Cory Stillman,24,,CAN,47,69,68,63,68,71,66,78,0,0
Dan Hinote,25,,USA,44,63,72,63,63,66,62,81,0,0
Dean Evason,26,Kraken,CAN,56,82,86,88,83,84,78,63,3,2000000
Dan Lambert,27,,CAN,51,63,71,68,65,77,71,73,0,0
Derek Laxdal,28,,CAN,55,67,76,64,68,83,77,65,0,1000000
Ryan Craig,29,,CAN,39,68,74,73,69,59,55,86,3,800000
Darryl Sutter,30,Crunch,CAN,62,81,88,79,84,93,87,51,2,750000
Gord Dineen,31,,CAN,55,37,67,59,60,50,41,52,0,800000
Ryan McGill,32,,CAN,52,70,73,74,67,78,73,71,3,800000
Jared Bednar,33,Canadiens,CAN,49,80,93,92,82,74,69,76,4,3000000
Dave Lowry,34,,CAN,56,67,74,69,70,84,78,63,1,1000000
Dave Tippett,35,Blue Jackets,CAN,59,83,88,89,84,89,83,57,3,3000000
Don Nachbaur,36,,CAN,61,63,52,43,61,45,46,52,3,600000
John Hynes,37,Red Wings,USA,46,80,86,82,80,69,64,79,2,2750000
Jacques Martin,38,,CAN,68,67,71,70,63,99,95,39,1,2650000
Jon Cooper,39,Predators,CAN,53,83,91,90,81,80,74,69,5,8000000
Joel Quenneville,40,Maple Leafs,CAN,62,81,86,91,82,93,87,51,4,5000000
Keith McCambridge,41,,CAN,43,67,67,58,53,59,43,58,0,0
John Torchetti,42,,USA,54,53,46,51,63,47,52,52,0,770000
John Tortorella,43,Panthers,USA,62,81,87,77,88,93,87,51,4,4000000
Ken Hitchcock,44,Avalanche,CAN,65,94,64,72,63,99,97,82,2,1500000
Marc Crawford,45,Lightning,CAN,60,65,70,67,71,90,84,55,2,1750000
Derek MacKenzie,46,,CAN,39,64,69,74,65,59,55,86,0,0
Mike Van Ryn,47,,CAN,41,66,73,70,71,62,57,84,0,1340000
Mike Stothers,48,,CAN,57,74,35,43,46,55,49,50,0,750000
Dominique Ducharme,49,Barracudas,CAN,48,82,81,83,82,72,67,77,2,1000000
Lindy Ruff,50,Sound Tigers,CAN,61,76,78,81,79,92,85,53,2,800000
Rocky Thompson,51,Marlies,CAN,43,65,65,61,68,65,60,82,2,750000
Dallas Eakins,52,Bears,USA,54,82,83,77,79,81,76,67,1,800000
Rick Kowalsky,53,,CAN,49,63,65,63,68,74,69,76,0,0
Steve Ott,54,,CAN,38,65,72,69,69,57,53,87,0,700000
Gerard Gallant,55,Admirals,CAN,58,80,79,80,77,87,81,59,3,1600000
Mike Babcock,56,Capitals,CAN,57,70,75,84,81,86,80,61,2,6000000
Mark Recchi,57,,CAN,53,66,68,67,71,80,74,69,3,600000
Joel Bouchard,58,,CAN,47,72,70,71,74,73,68,78,1,800000
Greg Moore,59,,USA,37,62,60,71,73,57,54,88,0,0
Mike Sullivan,60,Coyotes,USA,53,85,89,90,86,80,74,69,3,5000000
Jeremy Colliton,61,Ducks,CAN,36,82,83,83,87,54,50,89,2,2500000
Ryan Huska,62,,CAN,45,64,70,65,67,68,63,80,1,1100000
Paul Maurice,63,Bruins,CAN,54,82,89,85,86,81,76,67,2,4000000
Peter Laviolette,64,Golden Knights,USA,56,80,83,86,80,84,78,63,2,4000000
Randy Carlyle,65,,CAN,61,71,64,45,57,95,79,68,1,3500000
Kris Knoblauch,66,Monsters,CAN,42,65,68,69,70,65,61,83,2,700000
Jim Playfair,67,,CAN,56,68,73,74,69,84,78,63,0,0
John Wroblewski,68,,USA,39,62,60,72,73,60,57,86,0,0
Manny Viveiros,69,,CAN,55,77,72,71,78,85,80,65,0,0
Todd Nelson,70,,CAN,51,65,74,66,70,77,71,73,0,600000
Luke Richardson,71,,CAN,52,72,70,66,68,78,73,71,3,400000
Michel Therrien,72,,CAN,57,66,68,71,69,86,80,61,0,0
Roy Sommer,73,,USA,64,68,64,65,64,99,93,47,0,750000
Travis Green,74,Canucks,CAN,50,80,82,83,80,75,70,75,1,1750000
Scott Arniel,75, Americans,CAN,58,68,70,76,63,87,81,59,2,900000
Scott Gordon,76,,USA,58,71,70,67,74,90,84,59,0,900000
Troy Mann,77,Heat,CAN,51,68,65,69,68,79,74,73,1,700000
Dave Hakstol,78,,CAN,52,62,71,75,72,78,73,71,0,5000000
Mike Bales,79,,CAN,49,64,65,64,74,74,69,76,0,0
Terry Murray,80,,CAN,67,48,65,67,35,74,57,58,0,1800000
Todd Richards,81,Jets,USA,54,67,74,71,63,81,76,67,1,950000
Scott Gomez,82,,CAN,42,66,74,53,64,45,46,58,3,400000
Mike Eaves,83,,USA,64,73,67,68,63,99,93,47,0,0
John Gruden,84,,USA,50,70,76,64,69,75,70,75,3,1200000
Trent Yawney,85,,CAN,55,67,73,60,74,83,77,65,1,450000
Bob Boughner,86,,CAN,50,82,83,81,80,75,70,75,0,2000000
Andrew Brewer,87,Bruins,CAN,35,44,56,71,74,45,46,56,1,700000
Neil Graham,88,,CAN,35,62,64,67,74,54,51,90,0,0
Kevin Dineen,89,,CAN,57,67,66,72,68,88,83,61,1,1000000
Dom Ducharme,90,,CAN,48,72,62,60,59,45,46,57,3,600000
Matt Carkner,91,,CAN,40,62,42,50,59,47,35,49,1,500000
Paul MacLean,92,,CAN,63,63,75,68,72,95,88,49,0,0
Kirk Muller,93,Stars,CAN,55,70,69,65,66,83,77,65,1,700000
Lane Lambert,94,,CAN,56,72,77,65,71,84,78,63,0,800000
Ralph Krueger,95,,CHE,61,77,80,78,86,92,85,53,0,0
Stu Barnes,96,,CAN,51,57,73,44,65,45,46,55,3,400000
John Stevens,97,,CAN,54,69,75,65,66,81,76,67,1,3000000
Martin St Louis,98,Rampage ,CAN,46,62,69,66,68,75,70,75,3,1500000
Mike Yeo,99,,CAN,47,65,67,70,68,71,66,78,0,1000000
Glen Gulutzan,100,,CAN,49,67,73,72,68,74,69,76,0,700000
Reid Cashman,101,,USA,38,59,57,70,53,45,46,55,1,500000
Peter DeBoer,102,Islanders,CAN,52,83,90,87,84,78,73,71,3,5500000
John MacLean,103,,CAN,57,65,68,46,71,46,34,55,3,400000
Bill Peters,104,,CAN,56,71,77,76,75,84,78,63,2,4000000
Rod Brind'Amour,105,,CAN,50,86,92,87,84,75,70,75,0,0
Todd McLellan,106,,CAN,53,80,86,77,87,80,74,69,1,3750000
