Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Gulls,SDG,San Diego,Pacific Division,Western Conference,0,0,0,0,1385366,106567,117,8,50,False,9,0,,W4,6,0,0,0,1,0,1,8,6,0,0,0,1,0,1,14,44,22,4,3,0,0,0,1,0,0,22,11,18,6,19,1,0,280,184,56,100,98,79,6,25,11,8,0,7559,16334,5340,2410,12869,3078,0,44,81,125,62,176,97,179,168,241,75,131,0,
2,Moose,MAN,Manitoba,Southeast Division,Eastern Conference,0,0,0,0,819583,63045,42,8,50,False,7,0,,L1,6,2,0,0,0,0,0,8,6,2,0,0,0,0,0,12,46,13,4,3,1,0,0,0,0,0,24,4,16,2,12,1,0,391,228,78,136,118,137,0,17,14,15,0,8031,15557,5212,2462,12270,3017,2,46,88,134,24,214,130,205,164,251,84,120,0,
3,Bruins,PRO,Providence,Northeast Division,Eastern Conference,238,1729,0,0,837867,64451,35,8,50,False,8,0,,W1,5,2,0,0,1,0,0,8,5,2,0,0,1,0,0,11,46,17,4,2,1,0,0,1,0,0,21,8,13,6,16,1,0,405,271,68,130,140,133,2,16,17,13,0,9357,14520,5164,2518,11402,2887,2,46,75,121,34,214,138,268,177,287,80,133,0,
4,Americans,ROC,Rochester,Northeast Division,Eastern Conference,0,0,0,0,1300917,100071,3,8,50,False,29,0,,L3,0,7,0,0,1,0,0,8,0,7,0,0,1,0,0,1,21,66,4,0,4,0,0,0,0,0,9,33,6,0,3,1,0,266,636,188,92,79,90,5,5,8,8,0,17325,6560,5087,3142,4356,2042,0,21,40,61,8,147,131,329,72,201,54,155,1,
5,Heat,STK,Stockton,Northwest Division,Western Conference,0,0,0,0,580000,44615,100,8,50,False,12,0,,L1,4,3,0,0,0,1,0,8,4,3,0,0,0,1,0,10,39,23,4,3,1,0,0,0,0,0,23,8,10,3,12,3,0,352,255,88,100,129,119,8,12,13,13,1,9218,14453,5429,2632,11181,3037,1,39,59,98,33,186,136,199,168,259,100,143,0,
6,Checkers,CHR,Charlotte,Southeast Division,Eastern Conference,0,0,0,0,381500,29346,104,8,50,False,24,0,,W1,2,6,0,0,0,0,0,8,2,6,0,0,0,0,0,4,22,54,4,1,3,0,0,0,0,0,11,26,11,1,2,1,0,334,531,148,94,132,108,0,7,9,6,0,15141,8214,5445,3386,5754,2322,0,22,44,66,4,151,110,301,87,201,66,150,0,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,0,918667,70667,13,8,50,False,23,0,,OTL1,1,6,0,0,1,0,0,8,1,6,0,0,1,0,0,3,29,54,4,1,2,0,0,1,0,0,15,26,12,4,4,1,1,364,497,153,127,123,113,1,13,8,8,0,14955,8553,5564,3271,5971,2394,0,29,55,84,10,182,106,270,100,223,64,149,0,
8,Rampage,SAR,San Antonio,Northwest Division,Western Conference,0,0,0,0,1272417,97878,14,8,50,False,21,0,,W1,2,5,0,0,0,0,1,8,2,5,0,0,0,0,1,5,24,42,4,1,3,0,0,0,0,0,13,22,10,0,6,2,0,334,400,126,110,115,106,6,10,8,6,0,14720,8824,5556,3324,6240,2405,0,24,45,69,17,193,126,302,99,251,51,138,0,
9,Monsters,LEM,Lake Erie,Central Division,Western Conference,2641,0,2470,0,1219861,93835,33,8,50,False,2,0,,W8,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,16,56,10,4,4,0,0,0,0,0,0,24,3,5,2,19,1,2,383,123,33,151,119,113,0,31,15,10,0,4887,18737,5176,1846,15117,3432,1,56,106,162,38,240,95,141,141,210,87,129,0,
10,Stars,TEX,Texas,Pacific Division,Western Conference,0,0,0,0,367335,28257,93,8,50,False,15,0,,L1,3,3,0,0,1,1,0,8,3,3,0,0,1,1,0,9,30,27,4,2,1,0,0,0,1,0,14,10,15,1,17,1,0,306,330,84,106,95,105,2,14,5,10,1,12325,11311,5557,3100,8229,2699,1,30,51,81,39,155,134,331,88,210,58,117,0,
