Number,Transaction
20001,[2015-01-18 15:18:35] - Edward Pasquale average salary was modify from 712.500 kr to 712.500 kr.
20002,[2015-01-18 15:18:35] - Igor Bobkov average salary was modify from 870.000 kr to 870.000 kr.
20003,[2015-01-18 15:18:35] - Jack Campbell average salary was modify from 1.370.000 kr to 1.370.000 kr.
20004,[2015-01-18 15:18:35] - Jake Allen average salary was modify from 816.666 kr to 816.666 kr.
20005,[2015-01-18 15:18:35] - Joe Cannata average salary was modify from 900.000 kr to 900.000 kr.
20006,[2015-01-18 15:18:35] - Joni Ortio average salary was modify from 617.500 kr to 617.500 kr.
20007,[2015-01-18 15:18:35] - Keith Kinkaid average salary was modify from 900.000 kr to 900.000 kr.
20008,[2015-01-18 15:18:35] - Martin Jones average salary was modify from 550.000 kr to 550.000 kr.
20009,[2015-01-18 15:18:35] - Maxime Clermont average salary was modify from 560.000 kr to 560.000 kr.
20010,[2015-01-18 15:18:35] - Michael Hutchinson average salary was modify from 850.000 kr to 850.000 kr.
20011,[2015-01-18 15:18:35] - Olivier Roy average salary was modify from 700.000 kr to 700.000 kr.
20012,[2015-01-18 15:18:35] - Peter Delmas average salary was modify from 608.333 kr to 608.333 kr.
20013,[2015-01-18 15:18:35] - Viktor Fasth average salary was modify from 3.000.000 kr to 3.000.000 kr.
20014,[2015-01-18 15:18:35] - Petr Mrazek average salary was modify from 0 kr to 790.000 kr.
20015,[2015-01-18 15:18:35] - Cal Heeter average salary was modify from 950.000 kr to 950.000 kr.
20016,[2015-01-18 15:18:35] - Connor Knapp average salary was modify from 700.000 kr to 700.000 kr.
20017,[2015-01-18 15:18:35] - Frederik Andersen average salary was modify from 1.775.000 kr to 1.775.000 kr.
20018,[2015-01-18 15:18:35] - Jason Missiaen average salary was modify from 750.000 kr to 750.000 kr.
20019,[2015-01-18 15:18:35] - Jean-Francois Berube average salary was modify from 540.000 kr to 540.000 kr.
20020,[2015-01-18 15:18:35] - John Gibson average salary was modify from 925.000 kr to 925.000 kr.
20021,[2015-01-18 15:18:35] - Kent Patterson average salary was modify from 875.000 kr to 875.000 kr.
20022,[2015-01-18 15:18:35] - Louis Domingue average salary was modify from 601.667 kr to 601.667 kr.
20023,[2015-01-18 15:18:35] - Magnus Hellberg average salary was modify from 925.000 kr to 925.000 kr.
20024,[2015-01-18 15:18:35] - Mark Visentin average salary was modify from 870.000 kr to 870.000 kr.
20025,[2015-01-18 15:18:35] - Mike Lee average salary was modify from 900.000 kr to 900.000 kr.
20026,[2015-01-18 15:18:35] - Nathan Lieuwen average salary was modify from 588.333 kr to 588.333 kr.
20027,[2015-01-18 15:18:35] - Niklas Svedberg average salary was modify from 600.000 kr to 600.000 kr.
20028,[2015-01-18 15:18:35] - Paul Karpowich average salary was modify from 640.000 kr to 640.000 kr.
20029,[2015-01-18 15:18:35] - Scott Darling average salary was modify from 525.000 kr to 570.000 kr.
20030,[2015-01-18 15:18:35] - Scott Stajcer average salary was modify from 620.000 kr to 620.000 kr.
20031,[2015-01-18 15:18:35] - Scott Wedgewood average salary was modify from 900.000 kr to 900.000 kr.
20032,[2015-01-18 15:18:35] - Tyler Bunz average salary was modify from 683.333 kr to 683.333 kr.
