Name,Abbre,Morale,Points,GP,W,L,T,OTW,OTL,SOW,SOL,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PP Attemp,PP Goal,PK Attemp,PK GA,PK GF,Shots For,Shots Aga,Shots Block,Shots Period 1,Shots Period 2,Shots Period 3,Shots Period 4,Goals Period 1,Goals Period 2,Goals Period 3,Goals Period 4,Shutouts,Total Player Goal,Total Player Assist,Total Player Point,Total Pim,Total Hits,Face Off Won Offensif Zone,Face Off Won Defensif Zone, Face Off Won Neutral Zone,Face Off Total Offensif Zone,Face Off Total Defensif Zone, Face Off Total Neutral Zone,Total Empty Net Goal
Iowa,IOW,99,32,21,16,5,0,0,0,0,0,106,67,11,10,1,0,0,0,0,0,60,34,169,35,116,20,0,949,626,154,318,348,282,1,43,32,31,0,2,106,195,301,313,568,351,509,173,724,953,332,0,
Chicago,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Providence,PRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Portland,POR,74,20,14,10,4,0,0,0,0,0,64,47,7,6,1,0,0,0,0,0,32,21,116,29,85,14,0,514,445,121,168,176,152,18,25,18,19,2,0,64,121,185,227,388,267,291,133,498,544,243,0,
Quad City,QCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albany,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rockford,RCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lake Erie,LEM,0,4,6,2,4,0,0,0,0,0,20,27,3,1,2,0,0,0,0,0,13,12,47,7,39,12,0,280,214,44,102,101,77,0,7,8,5,0,0,20,39,59,108,183,117,156,55,219,280,95,0,
Syracuse,SYR,31,4,6,2,4,0,0,0,0,0,22,24,3,2,1,0,0,0,0,0,15,13,43,12,35,8,0,222,212,44,74,74,74,0,8,6,8,0,0,22,39,61,84,151,90,112,50,235,252,109,0,
Texas,TEX,0,0,4,0,4,0,0,0,0,0,11,23,2,0,2,0,0,0,0,0,4,11,18,2,31,7,0,126,204,56,29,47,50,0,5,3,3,0,0,11,22,33,83,95,92,59,29,195,136,60,0,
GrandRapid,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Springfield,SPF,43,8,10,4,6,0,0,0,0,0,36,43,5,2,3,0,0,0,0,0,21,21,56,14,78,13,0,305,495,133,97,97,111,0,13,10,13,0,0,36,66,102,223,289,233,168,71,478,340,160,0,
Rochester,ROC,1,4,6,2,4,0,0,0,0,0,34,41,3,2,1,0,0,0,0,0,22,18,45,10,48,21,0,272,227,64,88,74,110,0,16,9,9,0,0,34,62,96,107,190,97,133,65,199,240,126,0,
Manchester,MAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Houston,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hamilton,HAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Milwaukee,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lowell,LOW,0,0,4,0,4,0,0,0,0,0,8,30,2,0,2,0,0,0,0,0,6,16,25,3,31,12,0,128,181,49,46,47,35,0,3,4,1,0,0,8,16,24,83,111,60,61,28,137,138,75,0,
