Name,Number,Team,Country,Age,Weight,Height,Contract,Rookie,Protected,Available for Trade,No Apply Rerate,No Trade,Salary,Injury,Number Of Injury,Condition,Suspension,Status,SK,DU,ST,SZ,AG,RB,SC,HS,RT,EX,LD,MO,PO,OV,Pro GP,Pro Minutes Played,Pro W,Pro L,Pro OTL,Pro Shutouts,Pro GA,Pro SA,Pro PIM,Pro A,Pro PenalityShots Shots, Pro PenalityShots Goals,Pro Empty Net Goal,Farm GP,Farm Minutes Played,Farm W,Farm L,Farm OTL,Farm Shutouts,Farm GA,Farm SA,Farm PIM,Farm A,Farm PenalityShots Shots, Farm PenalityShots Goals,Farm Empty Net Goal
Jonas Gustavsson,1,Blackhawks,SWE,25,180,75,3,False,False,False,False,False,5000000,,0,100,0,0,85,67,64,77,82,84,84,71,82,64,62,30,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ondrej Pavelec,2,Sabres,CZE,21,200,74,2,True,False,False,False,False,750000,,0,100,0,2,73,60,75,82,72,73,74,69,72,62,57,92,63,60,1,42,0,1,0,0,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikolai Khabibulin,3,Wild,RUS,36,209,73,1,False,False,False,False,False,7500000,,0,100,0,2,90,86,79,80,90,92,92,92,90,88,85,22,89,76,4,131,0,3,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Emery,4,Flyers,CAN,27,196,74,2,False,False,False,False,False,1750000,,0,100,0,2,84,74,78,79,82,85,85,83,85,72,61,99,50,68,2,39,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miikka Kiprusoff,5,Ducks,FIN,32,184,73,5,False,False,False,False,False,7900000,,0,100,0,2,91,99,64,80,87,90,91,92,92,88,82,40,50,75,7,427,3,3,1,0,25,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Salak,6,Panthers,CZK,22,180,73,3,True,False,False,False,False,750000,,1,100,0,2,60,50,65,75,60,60,60,57,60,45,45,37,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Bernier,7,Blues,CAN,21,184,72,3,False,False,False,False,False,1150000,,3,100,0,0,70,70,64,78,70,70,70,62,70,62,60,47,80,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis McElhinney,8,Flyers,CAN,25,193,74,2,True,False,False,False,False,500000,,0,100,0,0,68,60,71,82,65,71,71,66,70,61,66,30,40,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kari Lehtonen,9,Sharks,FIN,26,215,76,1,False,False,False,False,False,2000000,,0,100,0,2,89,93,82,86,88,88,88,91,91,70,74,93,50,73,20,1144,12,8,0,1,57,472,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Biron,10,Avalanche,CAN,32,180,75,3,False,False,False,False,False,4850000,,0,100,0,2,86,86,60,84,85,86,86,94,88,76,83,33,30,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Ellis,11,Thrashers,CAN,28,188,72,2,False,False,False,False,False,2000000,,0,100,0,2,82,74,68,78,81,80,83,84,81,65,73,99,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Miller,12,Sabres,USA,28,172,74,1,False,False,False,False,False,2575000,,0,100,0,2,94,95,71,82,93,95,95,97,96,75,72,98,82,76,14,796,7,6,0,1,32,317,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Ersberg,13,Hurricanes,SWE,27,168,72,1,False,False,False,False,False,850000,,0,100,0,2,84,71,48,78,84,81,81,80,83,58,58,87,25,64,3,86,0,1,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Quick,14,Canucks,USA,23,216,73,2,True,False,False,False,False,500000,,0,100,0,2,91,86,84,82,91,90,92,91,92,58,58,60,59,72,4,238,0,4,0,0,13,114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Drouin-Deslauriers,15,Predators,CAN,25,200,76,2,True,False,False,False,False,750000,,0,100,0,2,82,80,75,87,83,82,84,83,83,47,47,11,30,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Roloson,16,Coyotes,CAN,40,180,73,2,False,False,True,False,False,4000000,,0,100,0,2,87,90,60,80,86,88,88,93,87,84,89,25,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Mason,17,Kings,CAN,21,212,76,2,True,False,False,False,False,750000,,0,100,0,2,93,93,81,86,93,93,93,89,92,60,60,57,47,73,17,1015,9,8,0,2,41,461,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent Johnson,18,Canucks,USA,32,199,75,1,False,False,False,False,False,1100000,,1,100,0,0,77,68,74,84,77,77,77,81,77,72,68,41,5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,12,680,6,6,0,0,44,514,0,1,0,0,0
Ben Bishop,19,Kings,USA,22,205,79,2,True,False,False,False,False,850000,,4,100,0,0,61,54,77,92,61,61,61,60,61,47,47,62,60,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
