Team Number,Prospect Name,Year,Overall Pick
30,Spencer Watson,2014,101
4,Justin Vaive,0,0
11,Connor McDavid,2015,1
7,Daniil Zharkov,2012,66
14,Sam Reinhart,2014,2
1,Sam Bennett,2014,3
23,Leon Draisaitl,2014,4
16,Michael Dal Colle,2014,5
15,Stephen Silas,2010,93
9,Jake Virtanen,2014,6
16,Nikolaj Ehlers,2014,7
8,Calle Andersson,2012,98
8,Michael Amadio,2014,102
23,Griffin Reinhart,2012,4
29,Haydn Fleury,2014,8
23,Darnell Nurse,2013,8
23,William Nylander,2014,9
23,Kevin Fiala,2014,10
3,Mathew Dumba,2012,6
2,Max Domi,2013,11
16,Evan Campbell,2013,162
2,Nick Ritchie,2014,11
8,Brendan Perlini,2014,12
30,Radek Faksa,2012,9
30,Jakub Vrana,2014,13
13,John Ramage,2010,94
4,Dylan Larkin,2014,14
30,Jack Eichel,2015,2
27,Joel Armia,2011,13
22,Kevin Lalande,0,0
23,Tanner Richard,2012,99
14,Duncan Siemens,2011,15
13,Sonny Milano,2014,15
9,Hunter Shinkaruk,2013,13
1,Josh Wesley,2014,103
28,Robby Fabbri,2014,16
24,Drew MacKenzie,0,0
29,Brendan Burke,2013,163
23,Derrick Pouliot,2012,14
16,Samuel Morin,2013,14
22,Maxim Chudinov,2010,95
9,Conner Bleackley,2014,17
4,Teuvo Teravainen,2012,16
1,Mark McNeill,2011,19
12,Nick Schmaltz,2014,18
4,Corbin McPherson,0,0
14,Malcolm Subban,2012,17
12,Joe Morrow,2011,21
1,Bill Arnold,2010,96
14,J.C. Lipon,2013,93
10,Jerome Gauthier-Leduc,2010,97
9,Nikita Scherbak,2014,19
27,Alexander Guptill,2010,98
29,Troy Rutkowski,2010,99
20,Stefan Noesen,2011,22
14,Tyler Biggs,2011,23
13,Jonas Enlund,0,0
1,Anthony Mantha,2013,16
10,Matthew Puempel,2011,25
30,Zach Philips,2011,26
7,Steven Shipley,2010,100
30,Zachary Sanford,2013,63
14,Alex Tuch,2014,20
14,Adam Janosik,2010,101
14,Mitch Marner,2015,3
21,Anthony DeAngelo,2014,21
4,Thomas Vannelli,2013,61
11,Jared McCann,2014,22
23,Joey Hishon,2010,5
13,Jason Clark,2010,102
17,Ty Rattie,2011,34
15,Brandon Archibald,2010,103
23,Dylan Strome,2015,4
15,Rocco Grimaldi,2011,35
21,Kasperi Kapanen,2014,23
8,Henrik Samuelsson,2012,19
16,Ivan Provorov,2015,5
10,Brendan Gaunce,2012,20
