Own by Team,From Team,Year,Round
1,3,6,3
1,1,10,1
1,25,6,2
1,1,10,2
1,20,6,4
1,1,10,3
1,3,6,2
1,1,10,4
1,1,10,5
1,17,6,2
1,1,7,1
1,1,7,2
1,1,10,6
1,1,7,3
1,1,9,1
1,1,7,4
1,1,7,5
1,8,6,6
1,1,9,2
1,1,7,7
1,1,9,3
1,1,9,4
1,1,9,5
1,1,10,7
1,1,9,6
1,1,9,7
1,1,8,1
1,28,6,5
1,4,6,7
1,24,7,5
1,5,6,4
1,1,8,2
1,1,8,3
1,1,8,4
1,1,8,5
1,1,8,6
1,1,8,7
2,2,6,2
2,2,10,1
2,2,10,2
2,2,10,3
2,2,10,4
2,7,7,3
2,2,7,1
2,2,8,1
2,2,8,2
2,2,7,2
2,2,7,3
2,2,7,4
2,30,6,5
2,2,8,3
2,2,8,4
2,2,7,6
2,2,7,7
2,2,10,5
2,2,8,5
2,2,8,6
2,2,8,7
2,2,10,6
2,2,9,1
2,2,9,2
2,2,9,3
2,2,9,4
2,2,9,5
2,2,10,7
2,20,7,2
2,2,9,6
2,2,9,7
2,22,6,2
2,21,7,4
3,28,6,4
3,3,10,1
3,3,10,2
3,3,10,3
3,3,10,4
3,12,7,7
3,8,7,7
3,3,7,1
3,3,7,2
3,3,8,1
3,11,6,5
3,22,6,4
3,3,7,5
3,3,9,1
3,3,9,2
3,3,8,2
3,3,8,3
3,3,8,4
3,3,8,5
3,3,8,6
3,3,8,7
3,24,7,7
3,3,9,3
3,3,9,4
3,3,9,5
3,3,9,6
3,3,9,7
3,3,10,5
3,5,7,5
3,15,6,4
3,3,10,6
3,3,10,7
3,22,6,6
3,1,6,5
3,3,7,6
3,10,6,6
4,4,6,2
4,10,7,4
4,1,6,1
4,3,6,6
4,24,7,2
4,6,6,2
4,13,6,6
4,4,7,1
4,28,6,2
4,4,7,2
4,4,7,3
4,4,7,4
4,29,6,3
4,4,7,5
4,4,7,6
4,4,7,7
4,4,9,1
4,4,10,1
4,4,9,2
4,4,10,2
4,4,9,3
4,4,10,3
4,4,10,4
4,4,9,4
4,4,10,5
4,4,10,6
4,4,10,7
4,24,8,4
4,4,9,5
4,26,8,6
4,4,9,6
4,4,9,7
4,4,8,1
4,4,8,2
4,4,8,3
4,4,8,4
4,4,8,5
4,4,8,6
5,5,9,1
5,5,9,2
5,5,9,3
5,5,9,4
5,5,6,5
5,5,6,6
5,5,6,7
5,5,7,1
5,5,8,1
5,12,6,5
5,7,7,4
5,5,7,6
5,5,8,2
5,5,8,3
5,5,8,4
5,5,8,5
5,5,8,6
5,5,8,7
5,5,9,5
5,5,9,6
5,5,9,7
5,5,10,1
5,20,6,6
5,5,10,2
5,5,10,3
5,5,10,4
5,23,6,5
5,5,10,5
5,19,6,2
5,4,6,5
5,5,10,6
5,5,10,7
5,5,7,7
5,3,7,7
6,6,10,1
6,15,6,7
6,6,10,2
6,6,10,3
6,6,10,4
6,6,10,5
6,6,6,7
6,30,7,7
6,7,8,4
6,28,6,7
6,6,10,6
6,6,10,7
6,6,7,5
6,6,8,1
6,6,8,2
6,6,8,3
6,21,6,7
6,6,8,4
6,6,8,5
6,6,8,6
6,6,8,7
6,26,7,7
6,6,9,1
6,6,9,2
6,26,7,6
6,6,9,3
6,7,7,6
6,6,9,4
6,3,6,5
6,6,9,5
6,6,9,6
6,6,9,7
6,30,6,7
7,5,7,2
7,23,8,4
7,21,7,1
7,7,10,1
7,7,10,2
7,7,10,3
7,7,8,1
7,7,9,1
7,7,9,2
7,7,9,3
7,7,8,2
7,7,10,4
7,7,8,3
7,7,10,5
7,7,9,4
7,6,7,1
7,7,8,5
7,7,9,5
7,7,8,6
7,7,8,7
7,7,9,6
7,7,9,7
7,7,10,6
7,7,10,7
8,8,8,1
8,8,8,2
8,8,6,2
8,8,8,3
8,8,7,1
8,8,7,2
8,8,9,1
8,8,6,3
8,8,7,3
8,8,8,4
8,8,7,4
8,8,6,4
8,8,6,5
8,8,8,5
8,8,8,6
8,8,8,7
8,8,9,2
8,10,6,5
8,8,10,1
8,8,9,3
8,8,9,4
8,8,9,5
8,8,9,6
8,8,9,7
8,21,6,4
8,8,10,2
8,8,10,3
8,8,10,4
8,8,10,5
8,8,10,6
8,8,10,7
8,18,6,3
8,3,7,3
8,11,7,4
8,8,7,5
8,13,7,4
8,1,6,2
8,8,7,6
8,20,10,7
9,9,10,1
9,17,6,5
9,15,7,4
9,9,8,1
9,23,6,6
9,7,7,5
9,9,8,2
9,9,9,1
9,9,7,1
9,9,8,3
9,29,7,3
9,9,7,2
9,19,6,6
9,9,9,2
9,9,10,2
9,9,8,4
9,9,8,5
9,9,8,6
9,9,8,7
9,9,9,3
9,9,9,4
9,27,6,5
9,9,10,3
9,9,10,4
9,9,9,5
9,9,10,5
9,9,9,6
9,9,10,6
9,22,6,3
9,9,10,7
9,9,7,3
9,14,6,3
9,9,9,7
9,6,7,2
9,9,7,5
9,24,6,3
9,24,6,2
9,5,7,4
9,10,6,2
9,14,6,2
9,14,6,4
10,10,7,1
10,10,6,1
10,1,6,3
10,10,7,2
10,10,7,3
10,10,7,5
10,10,7,6
10,10,7,7
10,10,8,1
10,10,8,2
10,10,9,1
10,10,8,3
10,10,8,4
10,10,8,5
10,10,8,6
10,10,8,7
10,10,9,2
10,10,9,3
10,10,9,4
10,10,9,5
10,10,9,6
10,10,9,7
10,10,10,1
10,10,10,2
10,10,10,3
10,10,10,4
10,10,10,5
10,10,10,6
10,10,10,7
10,10,6,7
11,11,6,1
11,11,6,2
11,17,7,4
11,20,8,7
11,11,6,6
11,11,6,7
11,11,7,1
11,11,7,2
11,11,7,3
11,21,8,5
11,11,7,6
11,11,7,7
11,11,8,1
11,11,8,2
11,11,8,3
11,11,8,4
11,11,8,5
11,11,8,6
11,11,8,7
11,11,9,1
11,11,9,2
11,11,9,3
11,11,9,4
11,11,9,5
11,11,9,6
11,11,9,7
11,18,6,2
11,23,7,4
11,28,7,3
11,11,10,1
11,11,10,2
11,11,10,3
11,11,10,4
11,11,10,5
11,11,10,6
11,21,6,1
11,21,7,2
11,11,10,7
11,28,7,7
12,12,8,1
12,12,6,2
12,12,6,3
12,12,7,1
12,12,6,4
12,12,10,1
12,15,7,6
12,9,6,4
12,12,9,1
12,9,6,7
12,12,7,2
12,12,7,3
12,12,7,4
12,12,8,2
12,12,7,5
12,12,9,2
12,12,9,3
12,12,8,3
12,12,9,4
12,12,7,6
12,19,6,3
12,12,10,2
12,12,9,5
12,12,10,3
12,12,9,6
12,12,9,7
12,6,6,5
12,12,10,4
12,6,6,6
12,12,10,5
12,12,10,6
12,12,10,7
12,23,7,3
12,1,6,6
12,12,6,6
12,12,8,4
12,12,8,5
12,12,8,6
12,12,8,7
13,13,7,1
13,13,6,2
13,13,6,3
13,13,6,5
13,13,7,2
13,13,7,3
13,25,6,4
13,13,7,5
13,13,7,6
13,13,6,7
13,13,7,7
13,13,9,1
13,13,8,1
13,13,8,2
13,13,8,3
13,13,8,4
13,13,8,5
13,13,8,6
13,13,9,2
13,13,8,7
13,13,9,3
13,13,10,1
13,13,9,4
13,13,9,5
13,13,9,6
13,13,10,2
13,13,9,7
13,13,10,3
13,13,10,4
13,13,10,5
13,13,10,6
13,13,10,7
13,23,6,3
13,21,6,6
14,14,7,1
14,14,7,2
14,14,7,3
14,26,6,1
14,4,6,3
14,14,7,4
14,14,7,5
14,14,7,6
14,14,7,7
14,14,8,1
14,14,8,2
14,14,6,5
14,14,8,3
14,14,9,1
14,14,8,4
14,14,8,5
14,14,8,6
14,14,10,1
14,14,8,7
14,14,9,2
14,14,10,2
14,14,9,3
14,14,9,4
14,14,9,5
14,14,9,6
14,14,10,3
14,14,10,4
14,14,9,7
14,14,10,5
14,14,10,6
14,14,10,7
14,23,7,5
14,14,6,6
14,4,6,6
14,21,6,5
14,30,6,6
14,28,6,1
14,6,7,7
14,9,7,7
15,10,6,4
15,15,10,1
15,15,7,1
15,15,6,3
15,15,10,2
15,15,10,3
15,15,8,1
15,15,8,2
15,15,8,3
15,15,10,4
15,15,6,6
15,15,10,5
15,15,7,3
15,15,8,4
15,15,8,5
15,15,8,6
15,15,8,7
15,10,6,3
15,15,10,6
15,15,10,7
15,9,6,5
15,30,6,4
15,15,9,1
15,2,6,6
15,15,9,2
15,15,9,3
15,15,9,4
15,15,9,5
15,2,7,5
15,15,9,6
15,15,9,7
15,15,7,5
15,15,7,7
16,16,6,2
16,16,6,3
16,16,8,1
16,16,6,4
16,16,6,5
16,16,6,6
16,16,7,1
16,16,7,2
16,16,8,2
16,16,10,1
16,16,7,3
16,16,7,4
16,16,7,5
16,16,8,3
16,16,10,2
16,16,8,4
16,16,8,5
16,16,8,6
16,16,7,6
16,16,8,7
16,16,10,3
16,16,9,1
16,16,9,2
16,16,9,3
16,16,9,4
16,16,10,4
16,16,9,5
16,16,10,5
16,16,10,6
16,16,10,7
16,18,6,7
16,16,9,6
16,16,6,7
16,16,7,7
16,16,9,7
17,24,7,4
17,17,6,1
17,25,6,3
17,5,6,2
17,17,6,4
17,17,6,6
17,17,7,2
17,17,7,3
17,1,6,4
17,17,7,5
17,17,7,6
17,17,7,7
17,17,8,1
17,17,8,2
17,4,6,4
17,17,10,1
17,17,10,2
17,17,8,3
17,17,8,4
17,17,9,1
17,17,9,2
17,17,9,3
17,17,9,4
17,17,8,5
17,17,9,5
17,17,9,6
17,26,6,6
17,22,6,7
17,17,10,3
17,26,6,7
17,17,10,4
17,17,9,7
17,17,10,5
17,17,6,7
17,17,8,6
17,17,8,7
17,17,10,6
